"ec_clean_tenant_id"|"ec_lotting_attribute_name"|"ec_lotting_attribute_value"|"ec_lotting_attribute_priority"|"itm_nbr_sus_itm"|"material_number_sap_dim_mtrl"|"usf_product_number_usf_integrated_product_master "
0rFKfRe|Sub Variety / Color|NOT IDENTIFIED|02|8319196||
0rFKfRe|Product SZ Size/Count/Ripeness Designation|110 CT|03|8319196||
0rFKfRe|Grade|US #1 FANCY|04|8319196||
0rFKfRe|Storage Type|NOT APPLICABLE|05|8319196||
0rFKfRe|Packaging|CARTON|06|8319196||
0rFKfRe|Growing Area|WESTERN|07|8319196||
0rFKfRe|Growing Practices|CONVENTIONAL|08|8319196||
0rFKfRe|Product Style|WHOLE FRESH|09|8319196||
0rFKfRe|Processing|NOT IDENTIFIED|10|8319196||
0rFKfRe|Skin State|SKIN-ON|11|8319196||
0rFKfRe|Core State|WITH CORE|12|8319196||
0qnX0dC|Primary Variety|ANJOU|01|8318925||
0qnX0dC|Sub Variety / Color|NOT IDENTIFIED|02|8318925||
0qnX0dC|Product SZ Size/Count/Ripeness Designation|100 CT|03|8318925||
0qnX0dC|Grade|US #1 FANCY|04|8318925||
0qnX0dC|Storage Type|NOT APPLICABLE|05|8318925||
0qnX0dC|Packaging|CARTON|06|8318925||
0qnX0dC|Growing Area|WESTERN|07|8318925||
0qnX0dC|Growing Practices|CONVENTIONAL|08|8318925||
0qnX0dC|Product Style|WHOLE FRESH|09|8318925||
0qnX0dC|Processing|NOT IDENTIFIED|10|8318925||
0qnX0dC|Skin State|SKIN-ON|11|8318925||
0qnX0dC|Core State|WITH CORE|12|8318925||
0wLHAt4|Primary Variety|ANJOU|01|8318594||
0wLHAt4|Sub Variety / Color|NOT IDENTIFIED|02|8318594||
0wLHAt4|Product SZ Size/Count/Ripeness Designation|20 CT|03|8318594||
0wLHAt4|Grade|US #1 FANCY|04|8318594||
0wLHAt4|Storage Type|NOT APPLICABLE|05|8318594||
0wLHAt4|Packaging|CARTON|06|8318594||
0wLHAt4|Growing Area|WESTERN|07|8318594||
0wLHAt4|Growing Practices|CONVENTIONAL|08|8318594||
0wLHAt4|Product Style|WHOLE FRESH|09|8318594||
0wLHAt4|Processing|NOT IDENTIFIED|10|8318594||
0wLHAt4|Skin State|SKIN-ON|11|8318594||
0wLHAt4|Core State|WITH CORE|12|8318594||
0qk3lbC|Primary Variety|BARTLETT|01|8372351||
0qk3lbC|Sub Variety / Color|NOT IDENTIFIED|02|8372351||
0qk3lbC|Product SZ Size/Count/Ripeness Designation|100 CT|03|8372351||
0qk3lbC|Grade|US #1 FANCY|04|8372351||
0qk3lbC|Storage Type|NOT APPLICABLE|05|8372351||
0qk3lbC|Packaging|CARTON|06|8372351||
0qk3lbC|Growing Area|WESTERN|07|8372351||
0qk3lbC|Growing Practices|CONVENTIONAL|08|8372351||
0qk3lbC|Product Style|WHOLE FRESH|09|8372351||
0qk3lbC|Processing|NOT IDENTIFIED|10|8372351||
0qk3lbC|Skin State|SKIN-ON|11|8372351||
0qk3lbC|Core State|WITH CORE|12|8372351||
0pd8stC|Primary Variety|NOT IDENTIFIED|01|1410723||
0pd8stC|Sub Variety / Color|NOT IDENTIFIED|02|1410723||
0pd8stC|Product SZ Size/Count/Ripeness Designation|10 LB|03|1410723||
0pd8stC|Grade|US #1 FANCY|04|1410723||
0pd8stC|Storage Type|NOT APPLICABLE|05|1410723||
0pd8stC|Packaging|CARTON|06|1410723||
0pd8stC|Growing Area|WESTERN|07|1410723||
0pd8stC|Growing Practices|CONVENTIONAL|08|1410723||
0pd8stC|Product Style|WHOLE FRESH|09|1410723||
0pd8stC|Processing|NOT IDENTIFIED|10|1410723||
0pd8stC|Skin State|SKIN-ON|11|1410723||
0pd8stC|Core State|WITH CORE|12|1410723||
0dus6jT|Primary Variety|BOSC|01|1446632||
0dus6jT|Sub Variety / Color|NOT IDENTIFIED|02|1446632||
0dus6jT|Product SZ Size/Count/Ripeness Designation|110 CT|03|1446632||
0dus6jT|Grade|US #1 FANCY|04|1446632||
0dus6jT|Storage Type|NOT APPLICABLE|05|1446632||
0dus6jT|Packaging|CARTON|06|1446632||
0dus6jT|Growing Area|WESTERN|07|1446632||
0dus6jT|Growing Practices|CONVENTIONAL|08|1446632||
0dus6jT|Product Style|WHOLE FRESH|09|1446632||
0dus6jT|Processing|NOT IDENTIFIED|10|1446632||
0dus6jT|Skin State|SKIN-ON|11|1446632||
0dus6jT|Core State|WITH CORE|12|1446632||
0qpd91i|Primary Variety|BOSC|01|0695862||
0qpd91i|Sub Variety / Color|NOT IDENTIFIED|02|0695862||
0qpd91i|Product SZ Size/Count/Ripeness Designation|5 LB|03|0695862||
0qpd91i|Grade|US #1 FANCY|04|0695862||
0qpd91i|Storage Type|NOT APPLICABLE|05|0695862||
0qpd91i|Packaging|CARTON|06|0695862||
0qpd91i|Growing Area|WESTERN|07|0695862||
0qpd91i|Growing Practices|CONVENTIONAL|08|0695862||
0qpd91i|Product Style|WHOLE FRESH|09|0695862||
0qpd91i|Processing|NOT IDENTIFIED|10|0695862||
0qpd91i|Skin State|SKIN-ON|11|0695862||
0qpd91i|Core State|WITH CORE|12|0695862||
0stuOJS|Primary Variety|ASIAN|01|9621095||
0stuOJS|Sub Variety / Color|NOT IDENTIFIED|02|9621095||
0stuOJS|Product SZ Size/Count/Ripeness Designation|40 CT|03|9621095||
0stuOJS|Grade|US #1 FANCY|04|9621095||
0stuOJS|Storage Type|NOT APPLICABLE|05|9621095||
0stuOJS|Packaging|CARTON|06|9621095||
0stuOJS|Growing Area|NOT IDENTIFIED|07|9621095||
0stuOJS|Growing Practices|CONVENTIONAL|08|9621095||
0stuOJS|Product Style|WHOLE FRESH|09|9621095||
0stuOJS|Processing|NOT IDENTIFIED|10|9621095||
0stuOJS|Skin State|SKIN-ON|11|9621095||
0stuOJS|Core State|WITH CORE|12|9621095||
0uYtPgE|Primary Variety|RED|01|8176372||
0uYtPgE|Sub Variety / Color|RED|02|8176372||
0uYtPgE|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|8176372||
0uYtPgE|Grade|US #1 FANCY|04|8176372||
0uYtPgE|Storage Type|NOT APPLICABLE|05|8176372||
0uYtPgE|Packaging|CARTON|06|8176372||
0uYtPgE|Growing Area|WESTERN|07|8176372||
0uYtPgE|Growing Practices|CONVENTIONAL|08|8176372||
0uYtPgE|Product Style|WHOLE FRESH|09|8176372||
0uYtPgE|Processing|NOT IDENTIFIED|10|8176372||
0uYtPgE|Skin State|SKIN-ON|11|8176372||
0uYtPgE|Core State|WITH CORE|12|8176372||
0p9enkk|Primary Variety|BARTLETT|01|2129971|2129971|
0p9enkk|Sub Variety / Color|NOT IDENTIFIED|02|2129971|2129971|
0p9enkk|Product SZ Size/Count/Ripeness Designation|20 CT|03|2129971|2129971|
0p9enkk|Grade|US #1 FANCY|04|2129971|2129971|
0p9enkk|Storage Type|NOT APPLICABLE|05|2129971|2129971|
0p9enkk|Packaging|CARTON|06|2129971|2129971|
0p9enkk|Growing Area|WESTERN|07|2129971|2129971|
0p9enkk|Growing Practices|CONVENTIONAL|08|2129971|2129971|
0p9enkk|Product Style|WHOLE FRESH|09|2129971|2129971|
0p9enkk|Processing|NOT IDENTIFIED|10|2129971|2129971|
0p9enkk|Skin State|SKIN-ON|11|2129971|2129971|
0p9enkk|Core State|WITH CORE|12|2129971|2129971|
0rdx1fS|Primary Variety|BARTLETT|01|6979629||
0rdx1fS|Sub Variety / Color|NOT IDENTIFIED|02|6979629||
0rdx1fS|Product SZ Size/Count/Ripeness Designation|90 CT|03|6979629||
0rdx1fS|Grade|US #1 FANCY|04|6979629||
0rdx1fS|Storage Type|NOT APPLICABLE|05|6979629||
0rdx1fS|Packaging|CARTON|06|6979629||
0rdx1fS|Growing Area|WESTERN|07|6979629||
0rdx1fS|Growing Practices|CONVENTIONAL|08|6979629||
0rdx1fS|Product Style|WHOLE FRESH|09|6979629||
0rdx1fS|Processing|NOT IDENTIFIED|10|6979629||
0rdx1fS|Skin State|SKIN-ON|11|6979629||
0rdx1fS|Core State|WITH CORE|12|6979629||
0tbuppm|Primary Variety|RED|01|8281420||
0tbuppm|Sub Variety / Color|RED|02|8281420||
0tbuppm|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|8281420||
0tbuppm|Grade|US #1 FANCY|04|8281420||
0tbuppm|Storage Type|NOT APPLICABLE|05|8281420||
0tbuppm|Packaging|CARTON|06|8281420||
0tbuppm|Growing Area|WESTERN|07|8281420||
0tbuppm|Growing Practices|CONVENTIONAL|08|8281420||
0tbuppm|Product Style|WHOLE FRESH|09|8281420||
0tbuppm|Processing|NOT IDENTIFIED|10|8281420||
0tbuppm|Skin State|SKIN-ON|11|8281420||
0tbuppm|Core State|WITH CORE|12|8281420||
0qT9Odi|Primary Variety|NOT IDENTIFIED|01|7868969||
0qT9Odi|Sub Variety / Color|NOT IDENTIFIED|02|7868969||
0qT9Odi|Product SZ Size/Count/Ripeness Designation|135 CT|03|7868969||
0qT9Odi|Grade|US #1 FANCY|04|7868969||
0qT9Odi|Storage Type|NOT APPLICABLE|05|7868969||
0qT9Odi|Packaging|CARTON|06|7868969||
0qT9Odi|Growing Area|WESTERN|07|7868969||
0qT9Odi|Growing Practices|CONVENTIONAL|08|7868969||
0qT9Odi|Product Style|WHOLE FRESH|09|7868969||
0qT9Odi|Processing|NOT IDENTIFIED|10|7868969||
0qT9Odi|Skin State|SKIN-ON|11|7868969||
0qT9Odi|Core State|WITH CORE|12|7868969||
0tlXLB0|Primary Variety|ANJOU|01|2882837||
0tlXLB0|Sub Variety / Color|NOT IDENTIFIED|02|2882837||
0tlXLB0|Product SZ Size/Count/Ripeness Designation|100 CT|03|2882837||
0tlXLB0|Grade|US #1 FANCY|04|2882837||
0tlXLB0|Storage Type|NOT APPLICABLE|05|2882837||
0tlXLB0|Packaging|CARTON|06|2882837||
0tlXLB0|Growing Area|WESTERN|07|2882837||
0tlXLB0|Growing Practices|CONVENTIONAL|08|2882837||
0tlXLB0|Product Style|WHOLE FRESH|09|2882837||
0tlXLB0|Processing|NOT IDENTIFIED|10|2882837||
0tlXLB0|Skin State|SKIN-ON|11|2882837||
0tlXLB0|Core State|WITH CORE|12|2882837||
0svCp7O|Primary Variety|ANJOU|01|2882260||
0svCp7O|Sub Variety / Color|NOT IDENTIFIED|02|2882260||
0svCp7O|Product SZ Size/Count/Ripeness Designation|80 CT|03|2882260||
0svCp7O|Grade|US #1 FANCY|04|2882260||
0svCp7O|Storage Type|NOT APPLICABLE|05|2882260||
0svCp7O|Packaging|CARTON|06|2882260||
0svCp7O|Growing Area|WESTERN|07|2882260||
0svCp7O|Growing Practices|CONVENTIONAL|08|2882260||
0svCp7O|Product Style|WHOLE FRESH|09|2882260||
0svCp7O|Processing|NOT IDENTIFIED|10|2882260||
0svCp7O|Skin State|SKIN-ON|11|2882260||
0svCp7O|Core State|WITH CORE|12|2882260||
0uv4X0I|Primary Variety|NOT IDENTIFIED|01|1247179||
0uv4X0I|Sub Variety / Color|NOT IDENTIFIED|02|1247179||
0uv4X0I|Product SZ Size/Count/Ripeness Designation|110 CT|03|1247179||
0uv4X0I|Grade|US #1 FANCY|04|1247179||
